body_verified,bytes,command,elapsed_ms,exit_code,http_code,phase,round,sample,status,stderr,timeout,transfer_seconds,ttfb_seconds
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",10.631554,0,200,warmup,0,0,PASS,,False,0.001817,0.00175
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.234237,0,200,measurement,1,0,PASS,,False,0.001354,0.001312
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",8.555459,0,200,measurement,1,1,PASS,,False,0.001319,0.001279
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",10.178481,0,200,measurement,1,2,PASS,,False,0.001491,0.001418
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.086662,0,200,measurement,1,3,PASS,,False,0.001268,0.001207
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",8.701365,0,200,measurement,1,4,PASS,,False,0.001234,0.00119
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.194199,0,200,measurement,2,0,PASS,,False,0.001321,0.00128
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",11.846999,0,200,measurement,2,1,PASS,,False,0.001524,0.001461
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",8.990889,0,200,measurement,2,2,PASS,,False,0.00121,0.001162
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",8.404664,0,200,measurement,2,3,PASS,,False,0.001103,0.001059
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.216119,0,200,measurement,2,4,PASS,,False,0.001171,0.001119
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",11.936053,0,200,measurement,3,0,PASS,,False,0.001198,0.001072
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",8.678956,0,200,measurement,3,1,PASS,,False,0.001231,0.001187
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.037409,0,200,measurement,3,2,PASS,,False,0.001275,0.001216
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.153156,0,200,measurement,3,3,PASS,,False,0.00128,0.001236
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/']",9.515985,0,200,measurement,3,4,PASS,,False,0.001458,0.001409
True,5888,"['curl', '--silent', '--show-error', '--max-time', '2', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/failure']",9.860184,0,503,negative_http,,,FAIL,,False,0.001284,0.001236
False,0,"['curl', '--silent', '--show-error', '--max-time', '0.1', '--max-filesize', '5888', '--noproxy', '', '--socks5-hostname', '127.0.0.1:17891', '--write-out', '\n%{json}', 'http://127.0.0.1:36669/slow']",109.189648,28,0,negative_timeout,,,FAIL,"curl: (28) Operation timed out after 100 milliseconds with 0 bytes received
",True,0.100721,0.0
