candidate,case,elapsed_ms,end_ns,http_status,kernel_connect_ms,port,received_bytes,requested_bytes,round,start_ns,status,ttfb_ms,worker_exit_code
mihomo,cold-reality,7.000618,5753339659387,200,0.522488,18080,4096,4096,1,5753332658769,PASS,6.857013,0
mihomo,cold-hy2,5.859117,5753419893305,200,0.48802,18081,4096,4096,1,5753414034188,PASS,5.793907,0
mihomo,warm-reality,4.133871,5753495349328,200,0.326086,18080,4096,4096,1,5753491215457,PASS,4.039409,0
mihomo,warm-reality,4.237816,5753571894423,200,0.457228,18080,4096,4096,1,5753567656607,PASS,4.133868,0
mihomo,warm-reality,4.196213,5753646127796,200,0.323856,18080,4096,4096,1,5753641931583,PASS,4.024264,0
mihomo,warm-reality,4.560057,5753721539826,200,0.42832,18080,4096,4096,1,5753716979769,PASS,4.507939,0
mihomo,warm-reality,4.309496,5753799529546,200,0.412364,18080,4096,4096,1,5753795220050,PASS,4.191124,0
mihomo,warm-reality,4.366777,5753875355102,200,0.476819,18080,4096,4096,1,5753870988325,PASS,4.256821,0
mihomo,warm-reality,3.997364,5753950652221,200,0.369015,18080,4096,4096,1,5753946654857,PASS,3.918289,0
mihomo,warm-reality,4.000194,5754029155672,200,0.369955,18080,4096,4096,1,5754025155478,PASS,3.921899,0
mihomo,warm-reality,4.02446,5754105671386,200,0.419572,18080,4096,4096,1,5754101646926,PASS,3.867443,0
mihomo,warm-reality,4.091587,5754188080821,200,0.403487,18080,4096,4096,1,5754183989234,PASS,3.884182,0
mihomo,warm-reality,4.376653,5754263079546,200,0.480759,18080,4096,4096,1,5754258702893,PASS,4.246342,0
mihomo,warm-reality,4.060205,5754337723588,200,0.358667,18080,4096,4096,1,5754333663383,PASS,3.953416,0
mihomo,short,8.342187,5754418410547,200,0.715863,18080,4096,4096,1,5754410068360,PASS,8.238701,
mihomo,short,9.414554,5754419734630,200,0.401563,18080,4096,4096,1,5754410320076,PASS,9.377459,
mihomo,short,9.380915,5754419891902,200,0.637516,18080,4096,4096,1,5754410510987,PASS,9.307793,
mihomo,short,10.639152,5754421655089,200,0.973567,18080,4096,4096,1,5754411015937,PASS,10.605768,
mihomo,short,14.712387,5754425933874,200,2.019601,18080,4096,4096,1,5754411221487,PASS,14.61074,
mihomo,short,10.892691,5754422474426,200,1.38666,18080,4096,4096,1,5754411581735,PASS,10.857641,
mihomo,short,15.518805,5754427296223,200,1.380444,18080,4096,4096,1,5754411777418,PASS,15.390886,
mihomo,short,12.462983,5754424666464,200,0.617035,18080,4096,4096,1,5754412203481,PASS,12.408653,
mihomo,short,18.754165,5754431187803,200,1.424715,18080,4096,4096,1,5754412433638,PASS,18.717337,
mihomo,short,17.179908,5754429827685,200,1.071595,18080,4096,4096,1,5754412647777,PASS,17.067888,
mihomo,short,20.704421,5754433620249,200,0.552259,18080,4096,4096,1,5754412915828,PASS,20.580824,
mihomo,short,15.135161,5754428462486,200,1.818983,18080,4096,4096,1,5754413327325,PASS,15.013123,
mihomo,short,26.087943,5754439703794,200,2.596183,18080,4096,4096,1,5754413615851,PASS,25.922239,
mihomo,short,21.168041,5754435215321,200,2.198254,18080,4096,4096,1,5754414047280,PASS,21.048171,
