candidate,round,case,expected,emitted,passed,failed,timeouts,missing,success_rate,elapsed_ms,worker_wall_ms,request_body_bytes,response_body_bytes,verified_reply_bytes,reply_mbps,client_cpu_ms,client_rss_max_sampled_kib,server_cpu_ms,server_rss_max_sampled_kib,fixture_cpu_ms,fixture_rss_max_sampled_kib
mihomo,1,cold-burst-c1,24,24,24,0,0,0,1.0,269.913051,275.409474,99192,3145992,3145728,93.23678090690026,140.0,45584,60.0,40144,40.0,12432
mihomo,2,cold-burst-c1,24,24,24,0,0,0,1.0,271.546606,277.419173,99192,3145992,3145728,92.67589225549003,120.0,45772,60.0,46304,40.0,13412
mihomo,3,cold-burst-c1,24,24,24,0,0,0,1.0,258.030665,264.005973,99192,3145992,3145728,97.53036136228228,120.0,45704,60.0,45172,40.0,13460
mihomo,1,reuse-burst-c1,32,32,32,0,0,0,1.0,88.503021,94.03022,132256,4194656,4194304,379.133182357696,90.0,47116,10.0,40144,30.0,12904
mihomo,2,reuse-burst-c1,32,32,32,0,0,0,1.0,73.199,78.901674,132256,4194656,4194304,458.4001420784437,70.0,47036,20.0,46304,30.0,13356
mihomo,3,reuse-burst-c1,32,32,32,0,0,0,1.0,81.463971,87.260159,132256,4194656,4194304,411.8929090751051,70.0,47768,10.0,45336,30.0,13460
mihomo,1,burst-c8,40,40,40,0,0,0,1.0,68.048284,73.529795,165320,5243320,5242880,616.3717515639337,110.0,59744,20.0,41132,20.0,13160
mihomo,2,burst-c8,40,40,40,0,0,0,1.0,52.12962,58.275916,165320,5243320,5242880,804.5913244715767,70.0,58856,20.0,46304,30.0,13356
mihomo,3,burst-c8,40,40,40,0,0,0,1.0,49.587975,55.386887,165320,5243320,5242880,845.8308692782878,90.0,59480,20.0,45336,40.0,13740
mihomo,1,burst-c16,40,40,40,0,0,0,1.0,84.035932,89.684805,165320,5243320,5242880,499.1084051998138,130.0,70332,40.0,42100,50.0,13160
mihomo,2,burst-c16,40,40,40,0,0,0,1.0,61.046949,66.736099,165320,5243320,5242880,687.062018447474,120.0,71416,30.0,45780,40.0,13676
mihomo,3,burst-c16,40,40,40,0,0,0,1.0,63.925867,69.742462,165320,5243320,5242880,656.1200022519836,100.0,67472,40.0,45336,60.0,13740
mihomo,1,prompt-32k,8,8,8,0,0,0,1.0,19.954797,25.373249,262432,262232,262144,105.09513075978674,20.0,70332,0.0,42100,10.0,12684
mihomo,2,prompt-32k,8,8,8,0,0,0,1.0,20.009632,25.44884,262432,262232,262144,104.80712488865362,10.0,71416,0.0,45780,10.0,13676
