candidate,round,port,status,intent_to_core_ready_ms,intent_to_routes_ready_ms,intent_to_verified_https_ms,ready_to_verified_https_ms
mihomo,1,18080,PASS,82.342573,91.160743,104.115219,21.772646
mihomo,1,18081,PASS,82.8004,91.738473,107.485854,24.685454
gvisor,1,18080,PASS,80.512785,89.10498,99.274294,18.761509
gvisor,1,18081,PASS,83.243806,92.208761,104.714964,21.471158
go,1,18080,PASS,85.305291,94.309035,105.086897,19.781606
go,1,18081,PASS,82.606892,91.409835,102.758596,20.151704
go,2,18080,PASS,85.831182,94.539352,105.092719,19.261537
go,2,18081,PASS,82.918334,91.538469,102.727689,19.809355
mihomo,2,18080,PASS,84.349651,93.162589,104.512594,20.162943
mihomo,2,18081,PASS,87.084147,96.077103,109.783034,22.698887
gvisor,2,18080,PASS,84.293312,93.30574,104.046672,19.75336
gvisor,2,18081,PASS,94.135203,104.055861,116.231828,22.096625
gvisor,3,18080,PASS,83.51893,92.29911,102.64834,19.12941
gvisor,3,18081,PASS,96.530795,105.783045,118.030094,21.499299
go,3,18080,PASS,95.086141,104.012535,114.367384,19.281243
go,3,18081,PASS,90.732591,100.133432,112.861002,22.128411
mihomo,3,18080,PASS,81.758272,91.931862,103.414906,21.656634
mihomo,3,18081,PASS,84.006871,92.550466,104.689997,20.683126
