candidate,round,case,sample,status,prompt_bytes,request_body_bytes,response_bytes,response_body_bytes,elapsed_ms,ttfb_ms,first_event_ms,application_tcp_ms,origin_tls_ms,start_ms,end_ms,connection_id,reused,done
mihomo,1,cold-burst-c1,0,PASS,4096,4133,131072,131083,12.610691,5.286894,,0.239691,3.799027,0.520835,13.131591,4,False,True
mihomo,1,cold-burst-c1,1,PASS,4096,4133,131072,131083,10.90077,4.280227,,0.205372,3.123052,13.183617,24.084508,6,False,True
mihomo,1,cold-burst-c1,2,PASS,4096,4133,131072,131083,10.807337,3.908365,,0.22012,2.82916,24.14887,34.9563,8,False,True
mihomo,1,cold-burst-c1,3,PASS,4096,4133,131072,131083,10.741285,4.367085,,0.170862,3.121189,35.001035,45.742436,10,False,True
mihomo,1,cold-burst-c1,4,PASS,4096,4133,131072,131083,11.589559,3.916764,,0.196807,2.885851,45.788767,57.378405,12,False,True
mihomo,1,cold-burst-c1,5,PASS,4096,4133,131072,131083,11.940275,5.656425,,0.253411,3.441301,57.432962,69.373417,14,False,True
mihomo,1,cold-burst-c1,6,PASS,4096,4133,131072,131083,12.489016,4.466691,,0.317013,2.996977,69.418298,81.907492,16,False,True
mihomo,1,cold-burst-c1,7,PASS,4096,4133,131072,131083,11.579514,4.740137,,0.26857,3.489511,81.954268,93.533874,18,False,True
mihomo,1,cold-burst-c1,8,PASS,4096,4133,131072,131083,11.16973,4.332785,,0.224155,3.206063,93.576181,104.745987,20,False,True
mihomo,1,cold-burst-c1,9,PASS,4096,4133,131072,131083,10.767936,4.179028,,0.322177,2.819737,104.827999,115.595991,22,False,True
mihomo,1,cold-burst-c1,10,PASS,4096,4133,131072,131083,11.365952,3.883956,,0.221437,2.798027,115.640947,127.006982,24,False,True
mihomo,1,cold-burst-c1,11,PASS,4096,4133,131072,131083,11.244906,4.314389,,0.232878,3.118448,127.05021,138.2952,26,False,True
mihomo,1,cold-burst-c1,12,PASS,4096,4133,131072,131083,7.015651,5.410281,,0.223388,3.352411,138.341181,145.356919,28,False,True
mihomo,1,cold-burst-c1,13,PASS,4096,4133,131072,131083,12.334004,4.171795,,0.285887,2.995084,145.409811,157.743871,30,False,True
mihomo,1,cold-burst-c1,14,PASS,4096,4133,131072,131083,12.384551,4.365718,,0.220092,3.287347,157.790356,170.174976,32,False,True
