File: sing-box-linux-amd64
Type: cpu
Time: 2026-09-14 00:02:54 UTC
Duration: 32.01s, Total samples = 110ms ( 0.34%)
Showing nodes accounting for 70ms, 63.64% of 110ms total
Showing top 40 nodes out of 108
      flat  flat%   sum%        cum   cum%
      50ms 45.45% 45.45%       50ms 45.45%  internal/runtime/syscall/linux.Syscall6
         0     0% 45.45%       50ms 45.45%  syscall.RawSyscall6
         0     0% 45.45%       40ms 36.36%  github.com/sagernet/sing-box/route.(*ConnectionManager).connectionCopy
         0     0% 45.45%       40ms 36.36%  github.com/sagernet/sing/common/bufio.CopyWithCounters
         0     0% 45.45%       40ms 36.36%  github.com/sagernet/sing/common/bufio.CopyWithIncreateBuffer
         0     0% 45.45%       40ms 36.36%  github.com/sagernet/sing/common/bufio.copyExtended
         0     0% 45.45%       40ms 36.36%  runtime.systemstack
         0     0% 45.45%       40ms 36.36%  syscall.Syscall
         0     0% 45.45%       30ms 27.27%  github.com/sagernet/sing-tun.(*goEngine).run
         0     0% 45.45%       30ms 27.27%  github.com/sagernet/sing/common/bufio.copyExtendedWithPool
         0     0% 45.45%       30ms 27.27%  internal/poll.ignoringEINTRIO (inline)
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/common/dialer.DialSerialNetwork
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/common/tls.(*RealityClientConfig).ClientHandshake
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/common/tls.(*defaultDialer).DialTLSContext
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/common/tls.(*defaultDialer).dialContext
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/protocol/tun.(*Inbound).NewConnectionEx
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/protocol/vless.(*Outbound).DialContext
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/protocol/vless.(*vlessDialer).DialContext
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/route.(*ConnectionManager).NewConnection
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/route.(*Router).RouteConnectionEx
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-box/route.(*Router).routeConnection
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-tun.(*goEngine).park
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-tun.(*goLinuxIO).wait
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing-vmess/vless.(*VisionConn).Read
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing/common/bufio.(*ExtendedReaderWrapper).ReadBuffer
         0     0% 45.45%       20ms 18.18%  github.com/sagernet/sing/common/tls.ClientHandshake
         0     0% 45.45%       20ms 18.18%  golang.org/x/sys/unix.EpollWait
         0     0% 45.45%       20ms 18.18%  internal/poll.(*FD).Read
         0     0% 45.45%       20ms 18.18%  internal/poll.(*FD).Write
         0     0% 45.45%       20ms 18.18%  net.(*conn).Read
         0     0% 45.45%       20ms 18.18%  net.(*conn).Write
         0     0% 45.45%       20ms 18.18%  net.(*netFD).Read
         0     0% 45.45%       20ms 18.18%  net.(*netFD).Write
      20ms 18.18% 63.64%       20ms 18.18%  runtime.futex
         0     0% 63.64%       20ms 18.18%  runtime.futexwakeup
         0     0% 63.64%       20ms 18.18%  runtime.gcBgMarkWorker
         0     0% 63.64%       20ms 18.18%  runtime.gcBgMarkWorker.func2
         0     0% 63.64%       20ms 18.18%  runtime.gcDrain
         0     0% 63.64%       20ms 18.18%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 63.64%       20ms 18.18%  runtime.markroot
