File: mihomo-tono-linux-amd64
Type: cpu
Time: 2026-09-13 23:59:09 UTC
Duration: 32s, Total samples = 120ms ( 0.37%)
Showing nodes accounting for 80ms, 66.67% of 120ms total
Showing top 40 nodes out of 63
      flat  flat%   sum%        cum   cum%
      70ms 58.33% 58.33%       70ms 58.33%  internal/runtime/syscall/linux.Syscall6
         0     0% 58.33%       60ms 50.00%  github.com/metacubex/mihomo/common/net.Relay.func2
         0     0% 58.33%       60ms 50.00%  github.com/metacubex/sing/common/bufio.Copy
         0     0% 58.33%       60ms 50.00%  github.com/metacubex/sing/common/bufio.CopyExtended
         0     0% 58.33%       60ms 50.00%  github.com/metacubex/sing/common/bufio.copyWaitWithPool
         0     0% 58.33%       60ms 50.00%  syscall.RawSyscall6
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/adapters/gonet.(*TCPConn).Write
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*Endpoint).Write
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*Endpoint).sendData
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*Endpoint).sendRaw
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*Endpoint).sendTCP
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*sender).maybeSendSegment
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*sender).sendData
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*sender).sendSegment
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.(*sender).sendSegmentFromPacketBuffer
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/gvisor/pkg/tcpip/transport/tcp.sendTCP
         0     0% 58.33%       40ms 33.33%  github.com/metacubex/sing/common/bufio.(*ExtendedWriterWrapper).WriteBuffer
         0     0% 58.33%       40ms 33.33%  runtime.mcall
         0     0% 58.33%       40ms 33.33%  runtime.park_m
         0     0% 58.33%       40ms 33.33%  runtime.schedule
         0     0% 58.33%       40ms 33.33%  syscall.RawSyscall
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/rawfile.NonBlockingWriteIovec
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/link/fdbased.(*endpoint).WritePackets
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/link/fdbased.(*endpoint).sendBatch
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/link/fdbased.(*endpoint).writePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/network/ipv4.(*endpoint).WritePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/network/ipv4.(*endpoint).writePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/network/ipv4.(*endpoint).writePacketPostRouting
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/stack.(*Route).WritePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/stack.(*delegatingQueueingDiscipline).WritePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/stack.(*nic).WritePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/stack.(*nic).writePacket
         0     0% 58.33%       30ms 25.00%  github.com/metacubex/gvisor/pkg/tcpip/stack.(*nic).writeRawPacket
         0     0% 58.33%       30ms 25.00%  runtime.findRunnable
         0     0% 58.33%       20ms 16.67%  github.com/metacubex/sing/common/bufio.(*syscallReadWaiter).InitializeReadWaiter.func1
         0     0% 58.33%       20ms 16.67%  github.com/metacubex/sing/common/bufio.(*syscallReadWaiter).WaitReadBuffer
         0     0% 58.33%       20ms 16.67%  internal/poll.(*FD).RawRead
         0     0% 58.33%       20ms 16.67%  net.(*rawConn).Read
      10ms  8.33% 66.67%       20ms 16.67%  runtime.netpoll
         0     0% 66.67%       20ms 16.67%  syscall.Read (inline)
